timestamp,cycle_id,local_now,scheduled_due_time,decision,reason,c7_invoked,c7_return_code,sent_rows_before,sent_rows_after,send_delta,lock_acquired,active_workflow,active_pipeline,safety_notes
2026-07-18T21:51:58-04:00,2026-W29,2026-07-18T21:51:58-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T22:23:15-04:00,2026-W29,2026-07-18T22:23:15-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T22:38:16-04:00,2026-W29,2026-07-18T22:38:16-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T22:53:16-04:00,2026-W29,2026-07-18T22:53:16-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T23:12:13-04:00,2026-W29,2026-07-18T23:12:13-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T23:27:14-04:00,2026-W29,2026-07-18T23:27:14-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T23:42:15-04:00,2026-W29,2026-07-18T23:42:15-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-18T23:57:15-04:00,2026-W29,2026-07-18T23:57:15-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T00:12:16-04:00,2026-W29,2026-07-19T00:12:16-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T00:42:10-04:00,2026-W29,2026-07-19T00:42:10-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T00:57:11-04:00,2026-W29,2026-07-19T00:57:11-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T01:12:11-04:00,2026-W29,2026-07-19T01:12:11-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T01:27:17-04:00,2026-W29,2026-07-19T01:27:17-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T01:56:41-04:00,2026-W29,2026-07-19T01:56:41-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T02:11:42-04:00,2026-W29,2026-07-19T02:11:42-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T02:26:42-04:00,2026-W29,2026-07-19T02:26:42-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
2026-07-19T02:41:43-04:00,2026-W29,2026-07-19T02:41:43-04:00,2026-07-16T09:05:00-04:00,already_sent,successful_c6_send_exists_for_cycle,no,,3,3,0,no,weekly_conviction,phase5r_c7,manual_execution_only=yes; broker_connection=no; order_code=no; archived_inputs=no; child_output_logged=no; smtp_config_read_by_d3=no
